QuestionID;ResponseID;Domain;Subdomain;Complexity;Bloom;Questiontype;Source;Correctness;Relevance;Clarity;Completeness;Transparency
PGHYDIAP2;R_8xDDfag4Tn6FApW;physical geography;hydrology;low;apply;direct;chatgpt4o;5;5;4;4;5
PGHYDICR1;R_8xDDfag4Tn6FApW;physical geography;hydrology;high;create;direct;expert answer;5;5;5;4;5
PGHYDICR1;R_8xDDfag4Tn6FApW;physical geography;hydrology;high;create;direct;chatgpt3.5;3;4;4;3;3
PGHYDICR1;R_8xDDfag4Tn6FApW;physical geography;hydrology;high;create;direct;chatgpt4o;4;4;4;4;4
PGHYDIUN2;R_23DudzcfDgCsTKF;physical geography;hydrology;low;understand;direct;expert answer;4;4;4;2;4
PGHYDIUN2;R_23DudzcfDgCsTKF;physical geography;hydrology;low;understand;direct;chatgpt3.5;3;4;4;3;4
PGHYDIUN2;R_23DudzcfDgCsTKF;physical geography;hydrology;low;understand;direct;chatgpt4o;4;5;4;3;4
PGHYABCR1;R_23DudzcfDgCsTKF;physical geography;hydrology;high;create;abstract;expert answer;4;5;4;4;4
PGHYABCR1;R_23DudzcfDgCsTKF;physical geography;hydrology;high;create;abstract;chatgpt3.5;4;5;4;4;4
PGHYABCR1;R_23DudzcfDgCsTKF;physical geography;hydrology;high;create;abstract;chatgpt4o;5;5;4;5;4
HGEGDIAP1;R_8etxfuqByFhAOR7;human geography;economic geography;low;apply;direct;expert answer;4;4;3;4;3
HGEGDIAP1;R_8etxfuqByFhAOR7;human geography;economic geography;low;apply;direct;chatgpt3.5;4;3;4;3;3
HGEGDIAP1;R_8etxfuqByFhAOR7;human geography;economic geography;low;apply;direct;chatgpt4o;4;4;4;3;4
HGEGDICR1;R_8etxfuqByFhAOR7;human geography;economic geography;high;create;direct;expert answer;5;4;4;3;4
HGEGDICR1;R_8etxfuqByFhAOR7;human geography;economic geography;high;create;direct;chatgpt3.5;5;4;4;5;4
HGEGDICR1;R_8etxfuqByFhAOR7;human geography;economic geography;high;create;direct;chatgpt4o;5;4;3;4;4
PGOCDIAP1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;low;apply;direct;expert answer;3;5;4;4;5
PGOCDIAP1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;low;apply;direct;chatgpt3.5;4;5;5;4;5
PGOCDIAP1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;low;apply;direct;chatgpt4o;5;5;5;5;5
PGOCINCR1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;high;create;indirect;expert answer;1;1;0;0;0
PGOCINCR1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;high;create;indirect;chatgpt3.5;5;5;5;3;5
PGOCINCR1;R_2PbmiJGtTwQKB6b;physical geography;oceanography;high;create;indirect;chatgpt4o;5;5;4;5;5
PGGMABAP1;R_2IGhkvNRaPaeQ3T;physical geography;geomorphology;low;apply;abstract;expert answer;3;4;3;3;3
PGGMABAP1;R_2IGhkvNRaPaeQ3T;physical geography;geomorphology;low;apply;abstract;chatgpt3.5;4;5;5;4;3
PGGMABAP1;R_2IGhkvNRaPaeQ3T;physical geography;geomorphology;low;apply;abstract;chatgpt4o;4;5;5;4;3
PGHYDIUN1;R_2FRm5Y0w3u2eb5W;physical geography;hydrology;low;understand;direct;expert answer;3;4;4;4;3
PGHYDIUN1;R_2FRm5Y0w3u2eb5W;physical geography;hydrology;low;understand;direct;chatgpt3.5;3;2;2;2;3
PGHYDIUN1;R_2FRm5Y0w3u2eb5W;physical geography;hydrology;low;understand;direct;chatgpt4o;3;3;5;3;5
PGOCDIRE1;R_8hL5mGmfTTBmnRa;physical geography;oceanography;low;remember;direct;expert answer;3;2;1;1;1
PGOCDIRE1;R_8hL5mGmfTTBmnRa;physical geography;oceanography;low;remember;direct;chatgpt3.5;4;3;3;1;5
PGOCDIRE1;R_8hL5mGmfTTBmnRa;physical geography;oceanography;low;remember;direct;chatgpt4o;5;5;5;4;5
PGHYDIAP1;R_2qyXcplWtOJxmRB;physical geography;hydrology;low;apply;direct;expert answer;3;2;1;1;-99
PGHYDIAP1;R_2qyXcplWtOJxmRB;physical geography;hydrology;low;apply;direct;chatgpt3.5;3;2;1;2;1
PGHYDIAP1;R_2qyXcplWtOJxmRB;physical geography;hydrology;low;apply;direct;chatgpt4o;4;4;4;3;2
PGHYDIAN1;R_2qyXcplWtOJxmRB;physical geography;hydrology;high;analyze;direct;expert answer;5;4;4;3;2
PGHYDIAN1;R_2qyXcplWtOJxmRB;physical geography;hydrology;high;analyze;direct;chatgpt3.5;-99;-99;-99;-99;-99
PGHYDIAN1;R_2qyXcplWtOJxmRB;physical geography;hydrology;high;analyze;direct;chatgpt4o;-99;-99;-99;-99;-99
PGHYDIUN1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;low;understand;direct;expert answer;4;3;5;2;1
PGHYDIUN1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;low;understand;direct;chatgpt3.5;4;3;2;3;3
PGHYDIUN1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;low;understand;direct;chatgpt4o;4;5;4;4;5
PGHYDIEV1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;high;evaluate;direct;expert answer;3;1;-99;1;1
PGHYDIEV1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;high;evaluate;direct;chatgpt3.5;5;4;4;3;4
PGHYDIEV1;R_8QMfP1YhGQTtCQs;physical geography;hydrology;high;evaluate;direct;chatgpt4o;4;4;5;3;4
PGOCABAN2;R_2FIjFhguZJD3RFm;physical geography;oceanography;high;analyze;abstract;expert answer;4;5;5;5;5
PGOCABAN2;R_2FIjFhguZJD3RFm;physical geography;oceanography;high;analyze;abstract;chatgpt3.5;3;2;3;2;3
PGOCABAN2;R_2FIjFhguZJD3RFm;physical geography;oceanography;high;analyze;abstract;chatgpt4o;5;2;3;4;4
PGOCINAP1;R_8K5eHFD5YVLDdhD;physical geography;oceanography;low;apply;indirect;expert answer;4;3;2;1;1
PGOCINAP1;R_8K5eHFD5YVLDdhD;physical geography;oceanography;low;apply;indirect;chatgpt3.5;4;4;4;3;4
PGOCINAP1;R_8K5eHFD5YVLDdhD;physical geography;oceanography;low;apply;indirect;chatgpt4o;4;4;5;5;5
HGIDSDIAP1;R_2KrpziCEfO6Yny7;human geography;ids;low;apply;direct;expert answer;2;1;1;2;2
HGIDSDIAP1;R_2KrpziCEfO6Yny7;human geography;ids;low;apply;direct;chatgpt3.5;0;2;0;1;0
HGIDSDIAP1;R_2KrpziCEfO6Yny7;human geography;ids;low;apply;direct;chatgpt4o;1;1;1;1;0
HGUGINRE1;R_2M1xygxzIGiqmI1;human geography;urban geography;low;remember;indirect;expert answer;3;4;3;2;-99
HGUGINRE1;R_2M1xygxzIGiqmI1;human geography;urban geography;low;remember;indirect;chatgpt3.5;3;3;4;2;5
HGUGINRE1;R_2M1xygxzIGiqmI1;human geography;urban geography;low;remember;indirect;chatgpt4o;4;4;4;3;2
HGUGINAP2;R_2CQ8sllmnnjW5Xh;human geography;urban geography;low;apply;indirect;expert answer;2;3;2;2;3
HGUGINAP2;R_2CQ8sllmnnjW5Xh;human geography;urban geography;low;apply;indirect;chatgpt3.5;4;4;3;4;3
HGUGINAP2;R_2CQ8sllmnnjW5Xh;human geography;urban geography;low;apply;indirect;chatgpt4o;4;4;4;4;4
PGGMINRE1;R_2CQ8sllmnnjW5Xh;physical geography;geomorphology;low;remember;indirect;expert answer;0;-99;-99;-99;-99
PGGMINRE1;R_2CQ8sllmnnjW5Xh;physical geography;geomorphology;low;remember;indirect;chatgpt3.5;-99;1;1;1;1
PGGMINRE1;R_2CQ8sllmnnjW5Xh;physical geography;geomorphology;low;remember;indirect;chatgpt4o;4;4;3;3;4
PGGMDIRE1;R_8JjZ2Gs3VBx6QSK;physical geography;geomorphology;low;remember;direct;expert answer;0;1;1;0;1
PGGMDIRE1;R_8JjZ2Gs3VBx6QSK;physical geography;geomorphology;low;remember;direct;chatgpt3.5;5;3;2;1;4
PGGMDIRE1;R_8JjZ2Gs3VBx6QSK;physical geography;geomorphology;low;remember;direct;chatgpt4o;2;4;5;3;5
HGEGINUN1;R_85AZ2YUUBRsESFs;human geography;economic geography;low;understand;indirect;expert answer;4;4;3;3;4
HGEGINUN1;R_85AZ2YUUBRsESFs;human geography;economic geography;low;understand;indirect;chatgpt3.5;3;4;5;3;3
HGEGINUN1;R_85AZ2YUUBRsESFs;human geography;economic geography;low;understand;indirect;chatgpt4o;4;4;3;3;3
HGEGABAN1;R_85AZ2YUUBRsESFs;human geography;economic geography;high;analyze;abstract;expert answer;4;4;3;4;3
HGEGABAN1;R_85AZ2YUUBRsESFs;human geography;economic geography;high;analyze;abstract;chatgpt3.5;4;3;4;4;4
HGEGABAN1;R_85AZ2YUUBRsESFs;human geography;economic geography;high;analyze;abstract;chatgpt4o;4;3;3;4;4
PGOCDIAP1;R_8ISid8flBPSXhId;physical geography;oceanography;low;apply;direct;expert answer;3;-99;5;5;5
PGOCDIAP1;R_8ISid8flBPSXhId;physical geography;oceanography;low;apply;direct;chatgpt3.5;2;4;4;5;4
PGOCDIAP1;R_8ISid8flBPSXhId;physical geography;oceanography;low;apply;direct;chatgpt4o;5;5;5;4;5
PGOCABEV1;R_8ISid8flBPSXhId;physical geography;oceanography;high;evaluate;abstract;expert answer;2;3;2;2;2
PGOCABEV1;R_8ISid8flBPSXhId;physical geography;oceanography;high;evaluate;abstract;chatgpt3.5;4;4;4;4;4
PGOCABEV1;R_8ISid8flBPSXhId;physical geography;oceanography;high;evaluate;abstract;chatgpt4o;5;5;5;5;5
